id,name,kind,cost,rarity,sprite,damageDie,damageType,proficiencyCategory,rangeType,properties,enchantmentBonus,enchantment,enchantments,bonusDamageDie,bonusDamageType,isMonkWeapon,to_hit_count,to_hit_die,to_hit_flat,dmg_bonus_count,dmg_bonus_die,dmg_bonus_flat,dmg_bonus_type
greatsword,Greatsword,weapon,50,,/assets/weapons/greatsword.png,2d6,slashing,Martial,Melee,Heavy|Two-Handed,,,,,,,,,,,,,
halberd,Halberd,weapon,20,,/assets/weapons/halbert.png,1d10,slashing,Martial,Melee,Heavy|Reach|Two-Handed,,,,,,,,,,,,,
lance,Lance,weapon,10,,/assets/weapons/lance.png,1d12,piercing,Martial,Melee,Reach|Special,,,,,,,,,,,,,
longsword,Longsword,weapon,15,,/assets/weapons/longsword.png,1d8,slashing,Martial,Melee,Versatile (1d10),,,,,,,,,,,,,
maul,Maul,weapon,10,,/assets/weapons/maul.png,2d6,bludgeoning,Martial,Melee,Heavy|Two-Handed,,,,,,,,,,,,,
morningstar,Morningstar,weapon,15,,/assets/weapons/morningstar.png,1d8,piercing,Martial,Melee,,,,,,,,,,,,,,
pike,Pike,weapon,5,,/assets/weapons/pike.png,1d10,piercing,Martial,Melee,Heavy|Reach|Two-Handed,,,,,,,,,,,,,
rapier,Rapier,weapon,25,,/assets/weapons/rapier.png,1d8,piercing,Martial,Melee,Finesse,,,,,,,,,,,,,
scimitar,Scimitar,weapon,25,,/assets/weapons/scimitar.png,1d6,slashing,Martial,Melee,Finesse|Light,,,,,,,,,,,,,
shortsword,Shortsword,weapon,10,,/assets/weapons/shortsword.png,1d6,piercing,Martial,Melee,Finesse|Light,,,,,,true,,,,,,,
trident,Trident,weapon,5,,/assets/weapons/trident.png,1d6,piercing,Martial,Melee or Ranged,Thrown (range 20/60)|Versatile (1d8),,,,,,,,,,,,,
warPick,War Pick,weapon,5,,/assets/weapons/war pick.png,1d8,piercing,Martial,Melee,,,,,,,,,,,,,,
warhammer,Warhammer,weapon,15,,/assets/weapons/warhammer.png,1d8,bludgeoning,Martial,Melee,Versatile (1d10),,,,,,,,,,,,,
whip,Whip,weapon,2,,/assets/weapons/whip.png,1d4,slashing,Martial,Melee,Finesse|Reach,,,,,,,,,,,,,
blowgun,Blowgun,weapon,10,,/assets/weapons/blowgun.png,1,piercing,Martial,Ranged,Ammunition (range 25/100)|Loading,,,,,,,,,,,,,
handCrossbow,Hand Crossbow,weapon,75,,/assets/weapons/hand crossbow.png,1d6,piercing,Martial,Ranged,Ammunition (range 30/120)|Light|Loading,,,,,,,,,,,,,
heavyCrossbow,Heavy Crossbow,weapon,50,,/assets/weapons/heavy crossbow.png,1d10,piercing,Martial,Ranged,Ammunition (range 100/400)|Heavy|Loading|Two-Handed,,,,,,,,,,,,,
longbow,Longbow,weapon,50,,/assets/weapons/longbow.png,1d8,piercing,Martial,Ranged,Ammunition (range 150/600)|Heavy|Two-Handed,,,,,,,,,,,,,
net,Net,weapon,1,,/assets/weapons/net.png,—,—,Martial,Ranged,Thrown (range 5/15)|Special,,,,,,,,,,,,,
dagger+1,Dagger +1,weapon,500,uncommon,/assets/weapons/dagger+1.png,1d4,piercing,Simple,Melee or Ranged,Finesse|Light|Thrown (range 20/60),1,,,,,true,,,,,,,
shortsword+1,Shortsword +1,weapon,500,uncommon,,1d6,piercing,Martial,Melee,Finesse|Light,1,,,,,true,,,,,,,
longsword+1,Longsword +1,weapon,500,uncommon,/assets/weapons/longsword+1.png,1d8,slashing,Martial,Melee,Versatile (1d10),1,,,,,,,,,,,,
rapier+1,Rapier +1,weapon,500,uncommon,,1d8,piercing,Martial,Melee,Finesse,1,,,,,,,,,,,,
handaxe+1,Handaxe +1,weapon,500,uncommon,,1d6,slashing,Simple,Melee or Ranged,Light|Thrown (range 20/60),1,,,,,,,,,,,,
greataxe+1,Greataxe +1,weapon,500,uncommon,/assets/weapons/greataxe+1.png,1d12,slashing,Martial,Melee,Heavy|Two-Handed,1,,,,,,,,,,,,
greatsword+1,Greatsword +1,weapon,500,uncommon,,2d6,slashing,Martial,Melee,Heavy|Two-Handed,1,,,,,,,,,,,,
shortbow+1,Shortbow +1,weapon,500,uncommon,/assets/weapons/shortbow+1.png,1d6,piercing,Simple,Ranged,Ammunition (range 80/320)|Two-Handed,1,,,,,,,,,,,,
longbow+1,Longbow +1,weapon,500,uncommon,,1d8,piercing,Martial,Ranged,Ammunition (range 150/600)|Heavy|Two-Handed,1,,,,,,,,,,,,
shortsword+2,Shortsword +2,weapon,4000,rare,,1d6,piercing,Martial,Melee,Finesse|Light,2,,,,,true,,,,,,,
longsword+2,Longsword +2,weapon,4000,rare,/assets/weapons/longsword+2.png,1d8,slashing,Martial,Melee,Versatile (1d10),2,,,,,,,,,,,,
greatsword+2,Greatsword +2,weapon,4000,rare,,2d6,slashing,Martial,Melee,Heavy|Two-Handed,2,,,,,,,,,,,,
longbow+2,Longbow +2,weapon,4000,rare,,1d8,piercing,Martial,Ranged,Ammunition (range 150/600)|Heavy|Two-Handed,2,,,,,,,,,,,,
longsword+3,Longsword +3,weapon,16000,very rare,/assets/weapons/longsword+3.png,1d8,slashing,Martial,Melee,Versatile (1d10),3,,,,,,,,,,,,
greatsword+3,Greatsword +3,weapon,16000,very rare,,2d6,slashing,Martial,Melee,Heavy|Two-Handed,3,,,,,,,,,,,,
