id,name,kind,cost,rarity,sprite,stats_acBonus,stats_ab_str,stats_ab_dex,stats_ab_con,stats_ab_int,stats_ab_wis,stats_ab_cha,stats_save_str,stats_save_dex,stats_save_con,stats_save_int,stats_save_wis,stats_save_cha,stats_skill_acrobatics,stats_skill_animalHandling,stats_skill_arcana,stats_skill_athletics,stats_skill_deception,stats_skill_history,stats_skill_insight,stats_skill_intimidation,stats_skill_investigation,stats_skill_medicine,stats_skill_nature,stats_skill_perception,stats_skill_performance,stats_skill_persuasion,stats_skill_religion,stats_skill_sleightOfHand,stats_skill_stealth,stats_skill_survival,stats_adv_saves,stats_adv_skills,stats_adv_deathSaves,stats_bonusDmg_flat,stats_bonusDmg_dice,stats_bonusDmg_type
amulet-of-glory,Amulet of Glory,amulet,800,rare,/assets/amulets/Amulet_of_glory.png,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,
amulet-of-torture,Amulet of Torture,amulet,0,legendary,/assets/amulets/Amulet_of_torture.png,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
necklace-of-anguish,Necklace of Anguish,amulet,0,legendary,/assets/amulets/Necklace_of_anguish.png,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,perception,,,,
pearl-necklace,Pearl Necklace,necklace,50,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wis,,,,,
ruby-necklace,Ruby Necklace,necklace,200,uncommon,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
leather-gloves,Leather Gloves,gloves,1,common,/assets/none/Leather_gloves.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rune-gloves,Rune Gloves,gloves,750,uncommon,/assets/none/Rune_gloves.png,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,
barrows-gloves,Barrows Gloves,gloves,0,rare,/assets/none/Barrows_gloves.png,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
void-mage-gloves,Void Mage Gloves,gloves,0,rare,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
void-range-gloves,Void Ranger Gloves,gloves,0,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
leather-boots,Leather Boots,boots,1,common,/assets/boots/Leather_boots.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snakeskin-boots,Snakeskin Boots,boots,250,uncommon,/assets/boots/Snakeskin_boots.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
dragon-boots,Dragon Boots,boots,3000,rare,/assets/boots/dragon boots.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primordial-boots,Primordial Boots,boots,0,legendary,/assets/boots/Primordial_boots.png,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
steel-plate-boots,Steel Plate Boots,boots,1,legendary,/assets/boots/steel plate boots.png,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
boots-of-haste,Boots of Haste,boots,1,legendary,/assets/boots/boots of haste.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dex,,,,,
golden-boots,Golden Boots,boots,1,legendary,/assets/boots/golden boots.png,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
leather-legs,Leather Legs,legs,4,common,/assets/legs/leather legs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steel-plate-legs,Steel Plate Legs,legs,1,legendary,/assets/legs/steel plate legs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,con,,,,,
knight-legs,Knight Legs,legs,1,legendary,/assets/legs/knight legs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dex|con,,,,,
golden-legs,Golden Legs,legs,1,legendary,/assets/legs/golden legs.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,con,,,,,
ring-of-recoil,Ring of Recoil,ring,50,common,/assets/rings/Ring_of_recoil.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring-of-fire-damage,Ring of Fire (Damage),ring,50,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,fire
shocking-ring,Shocking Ring,ring,50,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,lightning
ring-of-fire,Ring of Fire,ring,500,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring-of-life,Ring of Life,ring,500,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
berserker-ring,Berserker Ring,ring,3000,rare,/assets/rings/Berserker_ring.png,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
archer-ring,Archer's Ring,ring,3000,rare,/assets/rings/Archers_ring.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
seers-ring,Seer's Ring,ring,3000,rare,/assets/rings/Seers_ring.png,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
berserker-ring-i,Berserker Ring (i),ring,0,legendary,/assets/rings/Berserker_ring_(i).png,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
arrow-quiver,Arrow Quiver,quiver,5,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avas-accumulator,Ava's Accumulator,quiver,0,uncommon,/assets/none/Ava%27s_accumulator.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perception,,,,
avas-assembler,Ava's Assembler,quiver,0,rare,/assets/none/Ava%27s_assembler.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perception,,,,
