id,name,kind,cost,rarity,sprite,damageDie,damageType,proficiencyCategory,rangeType,properties,enchantmentBonus,enchantment,enchantments,bonusDamageDie,bonusDamageType,isMonkWeapon,to_hit_count,to_hit_die,to_hit_flat,dmg_bonus_count,dmg_bonus_die,dmg_bonus_flat,dmg_bonus_type,requiresAttunement,crit_bonus,crit_bonus_type,stats_acBonus,stats_toHitBonus,stats_toHitAppliesTo,stats_speedBonus,stats_ab_str,stats_ab_dex,stats_ab_con,stats_ab_int,stats_ab_wis,stats_ab_cha,stats_abset_str,stats_abset_dex,stats_abset_con,stats_abset_int,stats_abset_wis,stats_abset_cha,stats_save_str,stats_save_dex,stats_save_con,stats_save_int,stats_save_wis,stats_save_cha,stats_skill_acrobatics,stats_skill_animalHandling,stats_skill_arcana,stats_skill_athletics,stats_skill_deception,stats_skill_history,stats_skill_insight,stats_skill_intimidation,stats_skill_investigation,stats_skill_medicine,stats_skill_nature,stats_skill_perception,stats_skill_performance,stats_skill_persuasion,stats_skill_religion,stats_skill_sleightOfHand,stats_skill_stealth,stats_skill_survival,stats_adv_saves,stats_adv_skills,stats_adv_deathSaves,stats_bonusDmg_flat,stats_bonusDmg_dice,stats_bonusDmg_type,stats_bonusDmg_appliesTo,stats_crit_bonus,stats_crit_bonus_type,stats_critDmg_dice,stats_critDmg_flat,stats_critDmg_type
lightCrossbow,Light Crossbow,weapon,25,,/assets/weapons/lightCrossbow.png,1d8,piercing,Simple,Ranged,Ammunition (range 80/320)|Loading|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart,Dart,weapon,5,,/assets/weapons/dart.png,1d4,piercing,Simple,Ranged,Finesse|Thrown (range 20/60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortbow,Shortbow,weapon,25,,/assets/weapons/shortbow.png,1d6,piercing,Simple,Ranged,Ammunition (range 80/320)|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sling,Sling,weapon,1,,/assets/weapons/sling.png,1d4,bludgeoning,Simple,Ranged,Ammunition (range 30/120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battleaxe,Battleaxe,weapon,10,common,/assets/weapons/battleaxe.png,1d8,slashing,Martial,Melee,Versatile (1d10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flail,Flail,weapon,10,,/assets/weapons/flail.png,1d8,bludgeoning,Martial,Melee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glaive,Glaive,weapon,20,,/assets/weapons/glaive.png,1d10,slashing,Martial,Melee,Heavy|Reach|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greataxe,Greataxe,weapon,30,,/assets/weapons/greataxe.png,1d12,slashing,Martial,Melee,Heavy|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greatsword,Greatsword,weapon,50,,/assets/weapons/greatsword.png,2d6,slashing,Martial,Melee,Heavy|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halberd,Halberd,weapon,20,,/assets/weapons/halberd.png,1d10,slashing,Martial,Melee,Heavy|Reach|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lance,Lance,weapon,10,,/assets/weapons/lance.png,1d12,piercing,Martial,Melee,Reach|Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longsword,Longsword,weapon,150,common,/assets/weapons/longsword.png,1d8,slashing,Martial,Melee,Versatile (1d10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maul,Maul,weapon,10,,/assets/weapons/maul.png,2d6,bludgeoning,Martial,Melee,Heavy|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morningstar,Morningstar,weapon,15,,/assets/weapons/morningstar.png,1d8,piercing,Martial,Melee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pike,Pike,weapon,5,,/assets/weapons/pike.png,1d10,piercing,Martial,Melee,Heavy|Reach|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapier,Rapier,weapon,25,,/assets/weapons/rapier.png,1d8,piercing,Martial,Melee,Finesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scimitar,Scimitar,weapon,25,,/assets/weapons/scimitar.png,1d6,slashing,Martial,Melee,Finesse|Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortsword,Shortsword,weapon,10,,/assets/weapons/shortsword.png,1d6,piercing,Martial,Melee,Finesse|Light,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trident,Trident,weapon,5,common,/assets/weapons/trident.png,1d6,piercing,Martial,Melee or Ranged,Thrown (range 20/60)|Versatile (1d8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warPick,War Pick,weapon,5,,/assets/weapons/warPick.png,1d8,piercing,Martial,Melee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warhammer,Warhammer,weapon,15,,/assets/weapons/warhammer.png,1d8,bludgeoning,Martial,Melee,Versatile (1d10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whip,Whip,weapon,2,,/assets/weapons/whip.png,1d4,slashing,Martial,Melee,Finesse|Reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blowgun,Blowgun,weapon,10,,/assets/weapons/blowgun.png,1,piercing,Martial,Ranged,Ammunition (range 25/100)|Loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handCrossbow,Hand Crossbow,weapon,75,,/assets/weapons/handCrossbow.png,1d6,piercing,Martial,Ranged,Ammunition (range 30/120)|Light|Loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavyCrossbow,Heavy Crossbow,weapon,50,,/assets/weapons/heavyCrossbow.png,1d10,piercing,Martial,Ranged,Ammunition (range 100/400)|Heavy|Loading|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longbow,Longbow,weapon,50,,/assets/weapons/longbow.png,1d8,piercing,Martial,Ranged,Ammunition (range 150/600)|Heavy|Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net,Net,weapon,1,,/assets/weapons/net.png,—,—,Martial,Ranged,Thrown (range 5/15)|Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dagger+1,Dagger +1,weapon,500,uncommon,/assets/weapons/dagger+1.png,1d4,piercing,Simple,Melee or Ranged,Finesse|Light|Thrown (range 20/60),1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortsword+1,Shortsword +1,weapon,500,uncommon,/assets/weapons/shortsword+1.png,1d6,piercing,Martial,Melee,Finesse|Light,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longsword+1,Longsword +1,weapon,500,uncommon,/assets/weapons/longsword+1.png,1d8,slashing,Martial,Melee,Versatile (1d10),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapier+1,Rapier +1,weapon,500,uncommon,/assets/weapons/rapier+1.png,1d8,piercing,Martial,Melee,Finesse,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handaxe+1,Handaxe +1,weapon,500,uncommon,/assets/weapons/handaxe+1.png,1d6,slashing,Simple,Melee or Ranged,Light|Thrown (range 20/60),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greataxe+1,Greataxe +1,weapon,500,uncommon,/assets/weapons/greataxe+1.png,1d12,slashing,Martial,Melee,Heavy|Two-Handed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greatsword+1,Greatsword +1,weapon,500,uncommon,/assets/weapons/greatsword+1.png,2d6,slashing,Martial,Melee,Heavy|Two-Handed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortbow+1,Shortbow +1,weapon,500,uncommon,/assets/weapons/shortbow+1.png,1d6,piercing,Simple,Ranged,Ammunition (range 80/320)|Two-Handed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longbow+1,Longbow +1,weapon,500,uncommon,/assets/weapons/longbow+1.png,1d8,piercing,Martial,Ranged,Ammunition (range 150/600)|Heavy|Two-Handed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortsword+2,Shortsword +2,weapon,4000,rare,/assets/weapons/shortsword+2.png,1d6,piercing,Martial,Melee,Finesse|Light,2,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longsword+2,Longsword +2,weapon,4000,rare,/assets/weapons/longsword+2.png,1d8,slashing,Martial,Melee,Versatile (1d10),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greatsword+2,Greatsword +2,weapon,4000,rare,/assets/weapons/greatsword+2.png,2d6,slashing,Martial,Melee,Heavy|Two-Handed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longbow+2,Longbow +2,weapon,4000,rare,/assets/weapons/longbow+2.png,1d8,piercing,Martial,Ranged,Ammunition (range 150/600)|Heavy|Two-Handed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longbow+3,Longbow +3,weapon,4000,rare,/assets/weapons/longbow+3.png,1d8,piercing,Martial,Ranged,Ammunition (range 150/600)|Heavy|Two-Handed,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longsword+3,Longsword +3,weapon,16000,very rare,/assets/weapons/longsword+3.png,1d8,slashing,Martial,Melee,Versatile (1d10),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greatsword+3,Greatsword +3,weapon,16000,very rare,/assets/weapons/greatsword+3.png,2d6,slashing,Martial,Melee,Heavy|Two-Handed,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-spear,Royal Spear,weapon,1,common,/assets/weapons/royal-spear.png,1d10,piercing,Simple,Melee or Ranged,Thrown (range 20/60)|Versatile (1d12)|finesse,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-spear+1,Royal Spear +1,weapon,2,common,/assets/weapons/royal-spear+1.png,1d10,piercing,Simple,Melee or Ranged,Thrown (range 20/60)|Versatile (1d12)|finesse,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-spear+2,Royal Spear +2,weapon,3,common,/assets/weapons/royal-spear+2.png,1d10,piercing,Simple,Melee or Ranged,Thrown (range 20/60)|Versatile (1d12)|finesse,2,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-spear+3,Royal Spear +3,weapon,4,common,/assets/weapons/royal-spear+3.png,1d10,piercing,Simple,Melee or Ranged,Thrown (range 20/60)|Versatile (1d12)|finesse,3,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical shortsword,Critical shortsword,weapon,5,uncommon,/assets/weapons/shortsword.png,1d6,piercing,Martial,Melee,Finesse|Light,,,,,,true,,,,,,,,true,1,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mjonir,Mjonir,weapon,15,common,/assets/weapons/warhammer.png,1d8,bludgeoning,Martial,Melee,Versatile (1d10),,,,,,,,,2,1,6,,lightning,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
