id,name,kind,cost,rarity,sprite,type,baseAC,dexCap,stealthDisadvantage,strRequirement,enchantmentBonus,stats_acBonus,stats_toHitBonus,stats_toHitAppliesTo,stats_speedBonus,stats_ab_str,stats_ab_dex,stats_ab_con,stats_ab_int,stats_ab_wis,stats_ab_cha,stats_save_str,stats_save_dex,stats_save_con,stats_save_int,stats_save_wis,stats_save_cha,stats_skill_acrobatics,stats_skill_animalHandling,stats_skill_arcana,stats_skill_athletics,stats_skill_deception,stats_skill_history,stats_skill_insight,stats_skill_intimidation,stats_skill_investigation,stats_skill_medicine,stats_skill_nature,stats_skill_perception,stats_skill_performance,stats_skill_persuasion,stats_skill_religion,stats_skill_sleightOfHand,stats_skill_stealth,stats_skill_survival,stats_adv_saves,stats_adv_skills,stats_adv_deathSaves,stats_bonusDmg_flat,stats_bonusDmg_dice,stats_bonusDmg_type,stats_bonusDmg_appliesTo
hide,Hide,armor,10,,,medium,12,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chainShirt,Chain Shirt,armor,50,,,medium,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scaleMail,Scale Mail,armor,50,common,/assets/armors/iron scale armor.png,medium,14,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breastplate,Breastplate,armor,400,,,medium,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halfPlate,Half Plate,armor,750,,,medium,15,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ringMail,Ring Mail,armor,30,,,heavy,14,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chainMail,Chain Mail,armor,75,,,heavy,16,0,true,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
splint,Splint,armor,200,,,heavy,17,0,true,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,Plate,armor,100,common,/assets/armors/steel plate armor.png,heavy,18,0,true,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield+1,Shield +1,shield,1000,uncommon,,none,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leather+1,Leather +1,armor,1,uncommon,/assets/armors/233510.png,light,11,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studded+1,Studded Leather +1,armor,1,uncommon,/assets/armors/233530.png,light,12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breastplate+1,Breastplate +1,armor,1,uncommon,/assets/armors/233514.png,medium,14,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halfPlate+1,Half Plate +1,armor,1,uncommon,/assets/armors/230360.png,medium,15,2,true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ringMail+1,Ring Mail +1,armor,1,uncommon,/assets/armors/falcon plate.gif,heavy,14,0,true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chainMail+1,Chain Mail +1,armor,1,uncommon,,heavy,16,0,true,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
splint+1,Splint +1,armor,1,uncommon,,heavy,17,0,true,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate+1,Plate +1,armor,1,uncommon,/assets/armors/knight plate armor.png,heavy,18,0,true,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield+2,Shield +2,shield,1,rare,,none,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studded+2,Studded Leather +2,armor,1,rare,,light,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breastplate+2,Breastplate +2,armor,1,rare,/assets/armors/233528.png,medium,14,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halfPlate+2,Half Plate +2,armor,100,rare,/assets/armors/goo shell.gif,medium,15,2,true,,2,,1,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,fire,all
plate+2,Plate +2,armor,1,rare,/assets/armors/golden plate armor.png,heavy,18,0,true,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield+3,Shield +3,shield,1,very rare,,none,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate+3,Plate +3,armor,1,very rare,/assets/armors/magic plate armor.png,heavy,18,0,true,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iron-med-helm,Iron Med Helm,helmet,14,common,/assets/helmets/Iron_med_helm.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steel-med-helm,Steel Med Helm,helmet,35,common,/assets/helmets/Steel_med_helm.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steel-helmet,Steel Helmet,helmet,2,uncommon,/assets/helmets/steel helmet.png,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knight-helmet,Knight Helmet,helmet,3,uncommon,/assets/helmets/knight helmet.png,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden-helmet,Golden Helmet,helmet,5,rare,/assets/helmets/golden helmet.png,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
movility-cape,Movility Cape,cape,10,legendary,/assets/armors/Infernal_cape.png,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obsidian-cape,Obsidian Cape,cape,2000,uncommon,/assets/armors/Obsidian_cape.png,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire-cape,Fire Cape,cape,10,rare,/assets/armors/Fire_cape.png,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infernal-cape,Infernal Cape,cape,10,legendary,/assets/armors/Infernal_cape.png,,,,,,,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amulet-of-power,Amulet of Power,amulet,300,uncommon,/assets/amulets/Amulet_of_power.png,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
amulet-of-strength,Amulet of Strength,amulet,150,uncommon,/assets/amulets/Amulet_of_strength.png,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
amulet-of-glory,Amulet of Glory,amulet,800,rare,/assets/amulets/Amulet_of_glory.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,
amulet-of-torture,Amulet of Torture,amulet,15,legendary,/assets/amulets/Amulet_of_torture.png,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
necklace-of-anguish,Necklace of Anguish,amulet,15,legendary,/assets/amulets/Necklace_of_anguish.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,perception,,,,,
pearl-necklace,Pearl Necklace,necklace,50,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wis,,,,,,
ruby-necklace,Ruby Necklace,necklace,200,uncommon,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
leather-gloves,Leather Gloves,gloves,1,common,/assets/none/Leather_gloves.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rune-gloves,Rune Gloves,gloves,750,uncommon,/assets/none/Rune_gloves.png,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,
barrows-gloves,Barrows Gloves,gloves,10,rare,/assets/none/Barrows_gloves.png,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
void-mage-gloves,Void Mage Gloves,gloves,10,rare,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
void-range-gloves,Void Ranger Gloves,gloves,10,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
leather-boots,Leather Boots,boots,1,common,/assets/boots/Leather_boots.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snakeskin-boots,Snakeskin Boots,boots,250,uncommon,/assets/boots/Snakeskin_boots.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
dragon-boots,Dragon Boots,boots,3000,rare,/assets/boots/dragon boots.png,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primordial-boots,Primordial Boots,boots,5,legendary,/assets/boots/Primordial_boots.png,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
steel-plate-boots,Steel Plate Boots,boots,1,legendary,/assets/boots/steel plate boots.png,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
boots-of-haste,Boots of Haste,boots,1,legendary,/assets/boots/boots of haste.png,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden-boots,Golden Boots,boots,1,legendary,/assets/boots/golden boots.png,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
leather-legs,Leather Legs,legs,4,common,/assets/legs/leather legs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steel-plate-legs,Steel Plate Legs,legs,1,legendary,/assets/legs/steel plate legs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,con,,,,,,
knight-legs,Knight Legs,legs,1,legendary,/assets/legs/knight legs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dex|con,,,,,,
golden-legs,Golden Legs,legs,1,legendary,/assets/legs/golden legs.png,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,con,,,,,,
ring-of-recoil,Ring of Recoil,ring,5,common,/assets/rings/Ring_of_recoil.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring-of-fire-damage,Ring of Fire (Damage),ring,50,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,fire,melee
shocking-ring,Shocking Ring,ring,50,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,lightning,melee
ring-of-fire,Ring of Fire,ring,500,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring-of-life,Ring of Life,ring,500,uncommon,/assets/rings/Ring_of_life.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
berserker-ring,Berserker Ring,ring,3000,rare,/assets/rings/Berserker_ring.png,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
archer-ring,Archer's Ring,ring,3000,rare,/assets/rings/Archers_ring.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
seers-ring,Seer's Ring,ring,3000,rare,/assets/rings/Seers_ring.png,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
berserker-ring-i,Berserker Ring (i),ring,0,legendary,/assets/rings/Berserker_ring_(i).png,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
arrow-quiver,Arrow Quiver,quiver,5,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avas-accumulator,Ava's Accumulator,quiver,15,uncommon,/assets/none/Ava%27s_accumulator.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perception,,,,,
avas-assembler,Ava's Assembler,quiver,15,rare,/assets/none/Ava%27s_assembler.png,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perception,,,,,
paladin-armor,Paladin Armor,armor,5,uncommon,/assets/armors/paladin armor.png,heavy,18,0,true,15,1,,2,ranged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,piercing,ranged
demon-helmet,Demon Helmet,helmet,2,uncommon,/assets/helmets/demon helmet.png,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guardian-spellbook,Guardian Spellbook,shield,10,common,/assets/shields/umbral spellbook.gif,none,1,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,int,,,,,,
albino-plate,Albino Plate,armor,5,uncommon,/assets/armors/albino plate.gif,heavy,18,0,true,15,1,,2,ranged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,piercing,ranged
